	GC3
lcl|NC_072373.2_cds_XP_054337578.1_86	0.6779170684667309
lcl|NC_072373.2_cds_XP_054337798.2_121	0.32406602953953084
lcl|NC_072373.2_cds_XP_054302984.1_154	0.7841555977229602
lcl|NC_072373.2_cds_XP_054334781.1_173	0.34659685863874345
lcl|NC_072373.2_cds_XP_054356914.1_208	0.3285266457680251
lcl|NC_072373.2_cds_XP_054334848.1_231	0.3707201889020071
lcl|NC_072373.2_cds_XP_054334881.1_239	0.41704857928505956
lcl|NC_072373.2_cds_XP_063526783.1_260	0.5530600786075238
lcl|NC_072373.2_cds_XP_054303956.1_273	0.486784140969163
lcl|NC_072373.2_cds_XP_054326515.1_277	0.4802527646129542
lcl|NC_072373.2_cds_XP_054326848.1_282	0.71731843575419
lcl|NC_072373.2_cds_XP_054332511.1_285	0.44755244755244755
lcl|NC_072373.2_cds_XP_054357852.1_306	0.6594551282051282
lcl|NC_072373.2_cds_XP_054304913.1_307	0.36260846699973703
lcl|NC_072373.2_cds_XP_063526962.1_324	0.3036529680365297
lcl|NC_072373.2_cds_XP_054338564.1_339	0.5086313193588162
lcl|NC_072373.2_cds_XP_054298033.1_349	0.6205571565802114
lcl|NC_072373.2_cds_XP_063527117.1_351	0.5842277181521232
lcl|NC_072373.2_cds_XP_054310809.1_358	0.43373493975903615
lcl|NC_072373.2_cds_XP_054339147.1_360	0.5734184561810796
lcl|NC_072373.2_cds_XP_054301938.1_374	0.6008188331627431
lcl|NC_072373.2_cds_XP_054342709.1_398	0.47508690614136734
lcl|NC_072373.2_cds_XP_054303981.1_416	0.5908196721311475
lcl|NC_072373.2_cds_XP_054301233.1_428	0.4059322033898305
lcl|NC_072373.2_cds_XP_063527716.1_455	0.7829492056388454
lcl|NC_072373.2_cds_XP_054323662.1_533	0.36619718309859156
lcl|NC_072373.2_cds_XP_054323864.1_556	0.7224532224532224
lcl|NC_072373.2_cds_XP_054340907.1_562	0.6443349753694582
lcl|NC_072373.2_cds_XP_063527724.1_602	0.40190249702734837
lcl|NC_072373.2_cds_XP_054330343.1_622	0.33434387180597663
lcl|NC_072373.2_cds_XP_054348548.1_634	0.3947963800904977
lcl|NC_072373.2_cds_XP_054307677.1_641	0.4431718061674009
lcl|NC_072373.2_cds_XP_054307799.1_653	0.4912891986062718
lcl|NC_072373.2_cds_XP_063527844.1_657	0.518095238095238
lcl|NC_072373.2_cds_XP_054323948.1_677	0.37422360248447206
lcl|NC_072373.2_cds_XP_054305938.1_708	0.3916786226685796
lcl|NC_072373.2_cds_XP_054334713.1_718	0.3668208856576338
lcl|NC_072373.2_cds_XP_054340278.1_756	0.42840668844897173
lcl|NC_072373.2_cds_XP_054308020.1_767	0.4071933204881182
lcl|NC_072373.2_cds_XP_054308208.1_771	0.6750841750841751
lcl|NC_072373.2_cds_XP_054335213.1_783	0.3542642924086223
lcl|NC_072373.2_cds_XP_054313488.1_833	0.40186915887850466
lcl|NC_072373.2_cds_XP_054336201.1_862	0.6505050505050505
lcl|NC_072373.2_cds_XP_063528522.1_886	0.31676300578034683
lcl|NC_072373.2_cds_XP_054330756.1_903	0.6973572037510657
lcl|NC_072373.2_cds_XP_054305396.1_909	0.7607329842931937
lcl|NC_072373.2_cds_XP_054341865.1_925	0.44828700711053654
lcl|NC_072373.2_cds_XP_054336704.1_1008	0.667910447761194
lcl|NC_072373.2_cds_XP_054308447.1_1029	0.7181425485961123
lcl|NC_072373.2_cds_XP_054322711.1_1092	0.6118279569892473
