sequence	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60
lcl|NC_060925.1_cds_NP_001372569.1_2	2.6252251864851757	-1.1656011029525772	-1.8117072783521273	-1.2001174164911255	0.5736477466044684	0.584408191643079	-1.0051667104870736	0.3702759829897233	0.08651708511555456	1.6730318288721406	-1.145213912404211	-1.2643938985575796	-0.047573029705412	-0.8198523537109272	-1.8800541845742835	-0.2023002827530508	0.32840540354549513	-0.9155315542506823	1.6681269575442326	1.6311283515236867	0.5427304334558296	-0.6642366596365455	0.7328085355863975	-0.9900413990083112	0.6809537155374281	1.2115057327554588	-0.9162243786666514	0.8360890352638483	-0.8299607474753026	-1.4926452384010176	-0.5388080583373115	-0.4282917484821087	-0.2725879725727626	1.0368037804082273	-0.8127328334618245	-1.1068856348706992	0.6152245891234688	0.08837449693490623	0.4165113541919107	-0.04518904830088618	-0.06561446735005802	-1.1633681501166921	0.003062003324603362	-4.683753385137379e-15	-2.3175905639050143e-15	-2.888314587501384e-15	-5.627009275199768e-15	-1.6254358969902682e-15	1.938987165273076e-15	-2.0391674460107367e-15	1.6132928326584306e-15	-1.4432899320127035e-15	9.228728892196614e-16	1.6510230682609262e-15	-5.48172618408671e-16	2.0729945537922845e-15	1.6620819304202783e-15	-7.0895980058827135e-16	-8.971569689410208e-16	1.003537530852583e-15
lcl|NC_060925.1_cds_NP_001292204.1_36	0.13710193663024137	-2.041491170030584	-0.6051114843233745	-1.023987176241703	0.44174038655637266	-0.6720873006120811	0.8854501065265059	-1.4008958380673746	1.1711401193212005	-0.28001940142795306	0.5698135112146494	-0.7571865352041555	0.41107394662300595	-0.35486992541822704	1.3995783187683646	-0.5813488982018673	0.06935973989924277	-0.08806543586824454	-0.5189154757965501	0.31106351940640903	0.18033945653751385	-0.34691603119979425	-0.16525400544960162	-1.0867094284740282	-0.46769158971251196	0.7032977106764059	-0.3503066108337079	-0.7579775585478964	0.029686432045205345	0.3815036816081567	0.5892350577122726	0.3002790394144926	0.592559738324866	0.06424863960629416	0.23257809751230643	0.013388822934000233	-0.40122977757616024	0.4047804643416309	1.2638444727040108	-1.1148634760653777	-0.13613725799124324	-0.45946634540545406	-0.012832855780771823	-6.4965394175331426e-15	2.8275992658421956e-16	2.4841240175987878e-15	3.0075768264747893e-15	-1.6063539387545234e-15	-6.028164079019405e-17	-2.237793284010081e-16	-1.6514567491299204e-15	-1.8041124150158794e-16	-8.187894806610529e-16	5.178149575790769e-16	-1.6445178552260131e-15	-7.355227538141662e-16	-2.0036056147532122e-16	3.9324012796049246e-16	5.061597842248577e-16	4.200199216208844e-16
lcl|NC_060925.1_cds_XP_054190147.1_96	2.1503808160268836	-2.417696725421572	-1.6181917611609937	-0.14122134137138925	0.6762348604464403	-0.33065593587015696	0.23816375666416928	-1.1596725359257725	-0.6227990785415313	1.8074803754238087	2.4734749430820577	0.08912891121748984	-0.5039362219348638	-1.5507345214103054	0.5640546789464488	0.7090631383842041	0.5652900890228172	0.3997848874618397	-1.7944304295562032	0.6955827040105786	-0.4987839485854313	0.12598095139154816	0.7930427367652622	0.08878950109898473	-0.6006446176541345	-1.2262329435387196	-0.6123226071829364	1.8002637549970348	0.34081681250731743	-0.012096351884049839	0.5403456935055726	-0.6538079780070238	-0.09541404866698588	-0.012686716165176692	-0.5637915204658107	0.8363782739926005	-1.2636324468205336	-0.3764248714432255	0.7534199152372497	-1.1854681060168812	-0.7541724091650535	0.229081308577564	-0.01186278022438925	-1.0574874309554616e-14	2.0261570199409107e-15	1.3877787807814457e-15	-6.938893903907228e-17	-3.0531133177191805e-15	-3.573530360512223e-15	-1.9845236565174673e-15	-8.326672684688674e-16	-1.5543122344752192e-15	-2.6645352591003757e-15	1.1934897514720433e-15	-3.9968028886505635e-15	1.3877787807814457e-17	1.2628786905111156e-15	-7.476658181460039e-16	1.730766138047235e-15	-1.3877787807814457e-16
lcl|NC_060925.1_cds_XP_054194969.1_117	1.8961178149578484	-1.1387780357186308	-2.4014987805586294	0.7594598579522404	1.5971910055818916	1.2947795470725059	-0.8299013974463793	-0.07400949833252608	0.8850187394153342	-0.9832807110064953	0.23158257869621793	0.006193974808102742	0.30806764505128625	-1.238705591194273	0.21643616880147085	0.633404722224572	2.473022234462296	-0.9519779970515796	0.3382672842217054	2.732531333854326	-0.7762836077353773	0.05793892295765971	0.4807488395935091	0.5569480059394816	-1.050442613219556	-0.5979198869617544	-0.7239805941842514	0.008060147064795969	1.799544282621379	0.4432268305208325	-1.8757655527316002	0.2164829716668799	-0.06648406787183012	0.7774592587179407	0.4524809723795695	-1.0143200724292818	-2.081073593061131	0.10936669019810491	-1.3582250252655728	0.32078747867902896	0.024693668250053043	-0.7270664186191751	-0.025054355511605703	-9.270362255620057e-15	6.245004513516506e-17	-2.6575963651964685e-15	-1.1084883011491797e-15	9.575673587391975e-16	-2.366162821232365e-15	-3.7816971776294395e-15	1.4988010832439613e-15	-3.219646771412954e-15	-2.220446049250313e-15	7.060324547225605e-16	-2.9282132274488504e-15	2.914335439641036e-16	1.6375789613221059e-15	-4.991666802123262e-16	-1.9768393736199763e-15	1.6583956430338276e-15
lcl|NC_060925.1_cds_XP_054190485.1_183	2.4768893236947616	-2.420523849702009	-4.156059644533869	-0.11911189410698676	1.528660630183461	-0.15913634053104087	0.891812099520025	0.7707365193656314	0.5806070789937076	-0.6628072948304361	-0.5654751956107993	-0.5384441860529329	-1.484099516468399	0.14484916507945972	-1.3986235903557278	-0.8237715850801802	0.414056666462029	-0.7942448914694925	-0.5695518082153527	0.24286816683615758	0.07642730634509488	-0.365416491994496	-1.2994518909865327	0.9313436406258295	0.22752705000783316	-0.5188995003561448	0.04678092592263075	0.7725569822786675	0.05845724693484721	0.3300220034088208	1.6226711242501226	-0.3363623395279762	-0.25784108603694933	-0.9282945143155555	-1.1498465034601548	-0.28123817561902453	-1.2102943880387267	0.5050446926070046	0.7776564117219221	-1.5478805568330545	-0.36535386829785105	0.7967457263924443	0.002989443992829169	-8.493206138382448e-15	-2.2898349882893854e-16	1.5959455978986625e-15	-2.770353391134961e-15	-3.066991105526995e-15	2.033095913844818e-15	-2.6922908347160046e-15	2.55351295663786e-15	-2.3314683517128287e-15	1.3877787807814457e-16	6.487865800153259e-16	-4.926614671774132e-15	-2.4980018054066022e-15	2.0365653607967715e-15	1.8279648628105605e-15	1.1358915110587509e-15	-4.0766001685454967e-17
lcl|NC_060925.1_cds_NP_001291289.1_300	1.5740166570180878	1.304677563992342	0.13473669121351534	-0.9047780833117183	1.4323987282096113	-1.4194731174055308	1.4676221540232683	-1.6696801350064465	1.7835476825162322	1.4510791676569246	-0.7677608897329922	-1.305031947306456	-0.4638186784156718	0.4700062253090836	0.7834042439708773	0.6576070974929303	0.5031055792828103	-0.23248686529603388	0.070326174781046	1.0547448101423769	0.787286122890925	-1.5755267556402286	-0.014236160149842438	-0.7107068490464058	-0.9639938776021814	0.3942925605493867	-0.25983248704209877	1.2706676232174838	0.23072156784739994	-0.8490832700141596	-0.38287943371402733	1.0377912540494127	-0.11570280835950845	0.5545064466775981	-0.6184097221244313	-0.8539919185860303	-1.5294862611014426	0.16463005283062704	-0.9617622280392443	0.012654746932728306	-0.056338874111652504	0.3885279302584549	-0.010606264594986037	-5.9847959921199845e-15	3.209238430557093e-17	1.887379141862766e-15	2.042203212093696e-15	-3.1927585575353135e-15	-8.912141857830846e-16	-4.295175326518574e-15	3.3306690738754696e-16	1.790234627208065e-15	-1.339206523454095e-15	1.1171619185290638e-15	-3.122502256758253e-16	4.106957829375091e-16	1.311234107403969e-15	1.0810579861852965e-15	-1.3189319428286161e-16	-1.1080546202801855e-16
lcl|NC_060925.1_cds_XP_054195704.1_382	-0.4001465420960015	0.3530310180429848	-1.2841364786316085	0.49615953830703186	0.17055843632283121	-0.6735874566836294	1.2248813951989408	0.8876623877572313	0.8718021945288962	0.17279960005787381	0.5444937698048429	0.7713667204846874	-1.1550478415509622	-1.488197760258914	0.6425863948604497	0.6759901281660098	-0.8539327637156784	0.19459499083378984	-0.1798102090186745	-0.28274896121047205	0.23561112369873513	0.6539585916012615	-1.5738383100660378	-0.7291071897997532	0.13160519585902408	-1.2774949591540996	1.1019998046627217	1.0230195892069194	-0.4998542804001382	0.3514840251160003	0.5954457793701429	0.0628575284176194	-1.5880825128193023	-0.6369943523318214	-0.029673583163329586	0.011658772054571715	-7.333367266498894e-4	-0.2604195408633108	0.7257387778145823	-0.32916360868085043	-0.15768891934017146	-0.5624130184322549	-0.00671187522069541	-6.956674819535991e-15	-2.8492833092919057e-16	5.048045315092509e-16	2.259477327459791e-16	7.550383929189053e-16	-1.4792854441392222e-15	2.8406096919120216e-17	1.5222198501696482e-16	3.148523108897905e-16	-1.7672495411513722e-15	1.1194929531999076e-15	-4.684187066006373e-15	-2.7720881146109377e-15	1.0418098675413212e-15	-9.873829184825489e-16	8.426063530719494e-16	7.048398323328264e-16
lcl|NC_060925.1_cds_NP_001229601.2_424	0.5330344624382231	-0.8886072806191051	-2.096339910234671	1.1577257343651666	1.259305702442946	-1.7250908578565622	0.7582951470074976	-0.028549469199121897	-0.9526911434398404	1.9922320597424181	-1.3178096847452219	1.53116276790532	-0.6997781384639047	-0.7453169686006911	-0.24958148466610225	-0.4792291306536758	0.5521318228810159	-1.0080418803072646	0.16680937046845956	0.3566994305507329	0.8852841252941828	0.2822236599429634	0.7522871686059261	-0.030985474918250336	-0.1595911814530318	2.3557397463409173	-0.15716282960784306	-1.4126934163931906	-0.400927209387608	0.8023230632873912	0.6930189649721805	1.682229034591751	1.5913126191612856	1.1997620655562893	-0.6444325438950375	0.6643363670140271	-1.5873174957494454	-0.733063522686359	-0.4103554427794366	-0.5536250212937599	-0.969461632226023	0.5049343670443183	-0.018856038521370473	-1.0047518372857667e-14	4.996003610813204e-16	1.2628786905111156e-15	8.777700788442644e-16	-3.989863994746656e-15	1.6132928326584306e-15	-3.559652572704408e-15	-8.326672684688674e-17	-1.3877787807814457e-15	-2.3592239273284576e-15	2.6020852139652106e-16	-8.604228440844963e-16	9.26342336171615e-16	6.245004513516506e-17	-1.9125326322644298e-16	-1.028772336417183e-15	1.0304257447302234e-15
lcl|NC_060925.1_cds_NP_071397.3_454	3.4398687106791437	-0.4938613151901359	-0.23570057869695848	-1.5720508329723888	0.574303650666453	0.4694227635852173	0.4710769661377955	-2.0227180213228726	-0.3854501962511348	1.900793557370677	-0.6343043228956728	-0.5710158906564844	-0.45524082212153244	-0.5262036095823047	1.1829379523935006	0.8086171848525335	-1.328304240833497	-1.5956021537449498	-1.1965235916923145	-0.457766998489677	-0.6487321708600255	-1.4292112248992859	-0.4850644017614096	0.20110626122130876	-0.949661936389015	-0.9001352376186235	-0.2796583650230689	1.4258045465815306	-0.9761265817423459	-2.1280617376804525	-0.579627074780626	1.6608209724440548	-0.13498569792099288	0.02499349321579797	-0.2851743343498175	-1.9580578429441715	-0.9768096808500125	0.3676176922937588	-1.0560992755444267	0.5637758713678264	0.6824847960110393	-0.2686922552525629	-0.005312315003249364	-1.0123846205800646e-14	-3.608224830031759e-16	2.1510571102112408e-16	4.81385764583564e-16	-2.0018708912772354e-15	-1.7165088794790506e-15	-2.7998436902265667e-15	1.124100812432971e-15	1.942890293094024e-15	-1.0269562977782698e-15	1.48318857196017e-15	-1.762479051592436e-15	1.0182826803983858e-15	4.3194614551822497e-16	-6.804452834519026e-16	3.8415993476592636e-16	1.2286179018605736e-15
lcl|NC_060925.1_cds_XP_054190812.1_464	-0.9064860547815172	1.0101839344383206	1.939998790230688	-1.063086459926083	-1.0949815072900113	-1.11325705193206	-1.1135062641508142	-1.3209097195036934	0.43891558745397163	0.7269356499360421	-0.5004303241431156	-0.030146156479262193	1.4292951114524453	-2.94732411604165	0.9748521033534672	-0.5847572653869433	-1.8867504381207214	0.8976978980373805	0.04038305606036161	-0.1686601419446412	-0.12515758726151832	1.552356051706265	-0.564358314587232	2.004138687978507	-0.5070956534225552	-1.6135433979489122	0.5236792965765084	0.3490747844084753	-0.163115606319278	0.8552308379447168	-0.9730041426425146	2.1726125296949705	-1.4088777302695732	-1.1050644061733643	0.9340093015833394	-1.1775082188335766	0.22830125919584804	0.6477109105100634	2.0064990987302505	-1.7873123707532244	0.31727646906985846	-1.1324976085244356	-0.0013596170471358862	-4.657732532997727e-15	-4.253541963095131e-15	-4.640385298237959e-15	3.5709282752982574e-15	3.6012859361278515e-15	-1.6731407925796304e-15	-5.117434254131581e-16	-2.2620794126737565e-15	3.1502578323738817e-15	-9.610368056911511e-16	1.196959198423997e-16	-4.034966805122053e-15	-3.915270885279654e-15	-2.5326962749261384e-16	-1.333460251939922e-15	1.2833565590439355e-16	2.6595479291069424e-15
