	GC3
lcl|NC_072423.2_cds_XP_055151580.2_6	0.5205240174672489
lcl|NC_072423.2_cds_XP_055151715.1_28	0.7505030181086519
lcl|NC_072423.2_cds_XP_055151771.2_34	0.8088077336197637
lcl|NC_072423.2_cds_XP_055151666.2_42	0.6149825783972126
lcl|NC_072423.2_cds_XP_055151982.1_46	0.867590454195535
lcl|NC_072423.2_cds_XP_055152113.2_54	0.6163353036002149
lcl|NC_072423.2_cds_XP_055152138.1_61	0.7972508591065293
lcl|NC_072423.2_cds_XP_055152235.1_80	0.787569573283859
lcl|NC_072423.2_cds_XP_055152303.2_85	0.47932414406402846
lcl|NC_072423.2_cds_XP_055152690.1_123	0.41281936351411924
lcl|NC_072423.2_cds_XP_063493438.1_146	0.36631234668847096
lcl|NC_072423.2_cds_XP_055153135.2_188	0.6645348837209303
lcl|NC_072423.2_cds_XP_063493882.1_192	0.5636634400595681
lcl|NC_072423.2_cds_XP_055153229.2_201	0.39568345323741005
lcl|NC_072423.2_cds_XP_063495749.1_207	0.3663471778487753
lcl|NC_072423.2_cds_XP_055153504.1_256	0.5752688172043011
lcl|NC_072423.2_cds_XP_055153826.2_272	0.45416858590511283
lcl|NC_072423.2_cds_XP_063495378.1_278	0.4811800610376399
lcl|NC_072423.2_cds_XP_055153929.1_294	0.4992012779552716
lcl|NC_072423.2_cds_XP_063497464.1_317	0.40291583830351224
lcl|NC_072423.2_cds_XP_055154724.2_383	0.4551104972375691
lcl|NC_072423.2_cds_XP_055155616.2_471	0.6854054054054054
lcl|NC_072423.2_cds_XP_055088864.2_531	0.7946692991115498
lcl|NC_072423.2_cds_XP_055148379.2_593	0.7174946004319654
lcl|NC_072423.2_cds_XP_055089399.2_625	0.5189922480620155
lcl|NC_072423.2_cds_XP_055089403.1_631	0.7090119435396308
lcl|NC_072423.2_cds_XP_055089525.1_633	0.6023794614902943
lcl|NC_072423.2_cds_XP_063501720.1_647	0.40292275574112735
lcl|NC_072423.2_cds_XP_055089725.2_716	0.6167590881084412
lcl|NC_072423.2_cds_XP_055089775.2_719	0.5863228699551569
lcl|NC_072423.2_cds_XP_055090957.2_809	0.4060417592181253
lcl|NC_072423.2_cds_XP_063466739.1_817	0.32623318385650224
lcl|NC_072423.2_cds_XP_055091080.2_822	0.5746864310148233
lcl|NC_072423.2_cds_XP_055091205.1_837	0.3124565066109951
lcl|NC_072423.2_cds_XP_055091314.2_848	0.38159070598748884
lcl|NC_072423.2_cds_XP_055091363.2_849	0.383
lcl|NC_072423.2_cds_XP_055091329.2_850	0.40831758034026466
lcl|NC_072423.2_cds_XP_055091349.2_852	0.3654580152671756
lcl|NC_072423.2_cds_XP_055091402.1_854	0.35307262569832404
lcl|NC_072423.2_cds_XP_055091379.2_857	0.3688888888888889
lcl|NC_072423.2_cds_XP_055091411.1_859	0.3656633221850613
lcl|NC_072423.2_cds_XP_055091414.1_863	0.4410143329658214
lcl|NC_072423.2_cds_XP_055091455.2_877	0.7889273356401384
lcl|NC_072423.2_cds_XP_055091526.1_884	0.39555555555555555
lcl|NC_072423.2_cds_XP_063470548.1_910	0.5685975609756098
lcl|NC_072423.2_cds_XP_055091907.1_925	0.42586750788643535
lcl|NC_072423.2_cds_XP_055091882.2_945	0.52999400119976
lcl|NC_072423.2_cds_XP_063470751.1_952	0.5806949806949807
lcl|NC_072423.2_cds_XP_055092306.1_987	0.311804008908686
lcl|NC_072423.2_cds_XP_055092531.1_1000	0.3833167825223436
lcl|NC_072423.2_cds_XP_055092544.1_1010	0.3079667063020214
lcl|NC_072423.2_cds_XP_063496672.1_1017	0.5454545454545454
lcl|NC_072423.2_cds_XP_055092514.1_1021	0.3392857142857143
lcl|NC_072423.2_cds_XP_055092996.1_1058	0.2946161515453639
lcl|NC_072423.2_cds_XP_063496888.1_1060	0.6283348666053358
lcl|NC_072423.2_cds_XP_055093020.2_1064	0.5171306209850107
lcl|NC_072423.2_cds_XP_055093101.2_1069	0.5200945626477541
lcl|NC_072423.2_cds_XP_055093174.1_1082	0.7196356275303644
lcl|NC_072423.2_cds_XP_055093594.2_1135	0.5387840670859538
lcl|NC_072423.2_cds_XP_055093944.2_1162	0.5582225105416802
lcl|NC_072423.2_cds_XP_055093986.1_1164	0.5345744680851063
lcl|NC_072423.2_cds_XP_055094118.2_1183	0.7658321060382917
lcl|NC_072423.2_cds_XP_055094246.2_1198	0.2690256907416384
lcl|NC_072423.2_cds_XP_063497128.1_1229	0.43968095712861416
lcl|NC_072423.2_cds_XP_063497418.1_1251	0.36673553719008267
lcl|NC_072423.2_cds_XP_055094766.2_1256	0.5727241018486222
lcl|NC_072423.2_cds_XP_063497443.1_1280	0.3611713665943601
lcl|NC_072423.2_cds_XP_055095022.1_1300	0.4029520295202952
lcl|NC_072423.2_cds_XP_055095250.2_1327	0.34860248447204967
lcl|NC_072423.2_cds_XP_063494586.1_1377	0.5032327586206896
lcl|NC_072423.2_cds_XP_055137209.2_1449	0.64893001735107
lcl|NC_072423.2_cds_XP_055128522.1_1519	0.5141463414634146
lcl|NC_072423.2_cds_XP_055130417.2_1646	0.3609467455621302
lcl|NC_072423.2_cds_XP_055132870.2_1681	0.7371916508538899
lcl|NC_072423.2_cds_XP_063497859.1_1710	0.6512562814070352
lcl|NC_072423.2_cds_XP_055134799.1_1713	0.6476774758983348
lcl|NC_072423.2_cds_XP_055139169.1_1761	0.814176245210728
lcl|NC_072423.2_cds_XP_055139454.1_1764	0.7987857762359063
lcl|NC_072423.2_cds_XP_063497997.1_1794	0.7536687631027253
lcl|NC_072423.2_cds_XP_055143249.2_1822	0.5131229235880399
lcl|NC_072423.2_cds_XP_055145009.1_1827	0.6205714285714286
lcl|NC_072423.2_cds_XP_063498067.1_1842	0.6821052631578948
lcl|NC_072423.2_cds_XP_055143811.2_1857	0.6039296794208894
lcl|NC_072423.2_cds_XP_055143761.2_1859	0.5950980392156863
lcl|NC_072423.2_cds_XP_055152412.2_1951	0.37463697967086157
lcl|NC_072423.2_cds_XP_055093805.1_2056	0.8040322580645162
lcl|NC_072423.2_cds_XP_063490832.1_2091	0.7689345314505777
lcl|NC_072423.2_cds_XP_055097632.1_2135	0.8124635993011066
lcl|NC_072423.2_cds_XP_055101153.1_2156	0.7591933570581257
lcl|NC_072423.2_cds_XP_063491286.1_2189	0.786215698787492
lcl|NC_072423.2_cds_XP_055103274.2_2201	0.7692307692307693
lcl|NC_072423.2_cds_XP_055110390.1_2318	0.8232129131437356
lcl|NC_072423.2_cds_XP_055111809.2_2324	0.6594488188976378
lcl|NC_072423.2_cds_XP_055112732.1_2330	0.7558962264150944
lcl|NC_072423.2_cds_XP_055112382.1_2331	0.7595307917888563
lcl|NC_072423.2_cds_XP_055112874.1_2335	0.800575263662512
lcl|NC_072423.2_cds_XP_055114678.1_2362	0.7508532423208191
lcl|NC_072423.2_cds_XP_063499567.1_2424	0.6127659574468085
lcl|NC_072423.2_cds_XP_055118459.1_2427	0.7061266874350987
lcl|NC_072423.2_cds_XP_055150386.2_2478	0.7767195767195767
lcl|NC_072423.2_cds_XP_055122321.2_2489	0.6831566548881036
lcl|NC_072423.2_cds_XP_055122575.2_2511	0.7706422018348624
lcl|NC_072423.2_cds_XP_055124037.1_2540	0.586414445399828
lcl|NC_072423.2_cds_XP_055125928.2_2568	0.7740993184031159
lcl|NC_072423.2_cds_XP_055126054.1_2597	0.7751004016064257
lcl|NC_072423.2_cds_XP_055126472.1_2650	0.3961625282167043
lcl|NC_072423.2_cds_XP_063500214.1_2665	0.8500619578686494
lcl|NC_072423.2_cds_XP_055126619.1_2670	0.43863636363636366
lcl|NC_072423.2_cds_XP_055126733.2_2738	0.6999002991026919
lcl|NC_072423.2_cds_XP_055127254.2_2757	0.8057142857142857
lcl|NC_072423.2_cds_XP_055127178.1_2760	0.5045871559633027
lcl|NC_072423.2_cds_XP_055127403.1_2809	0.7091891891891892
lcl|NC_072423.2_cds_XP_055127552.1_2840	0.8306818181818182
lcl|NC_072423.2_cds_XP_055127792.1_2886	0.8430531732418525
lcl|NC_072423.2_cds_XP_063492229.1_2973	0.7794852093737995
lcl|NC_072423.2_cds_XP_055128393.2_3036	0.6389521640091116
lcl|NC_072423.2_cds_XP_055128475.1_3046	0.38335287221570924
lcl|NC_072423.2_cds_XP_055129173.2_3084	0.34587225448119163
lcl|NC_072423.2_cds_XP_055129508.2_3108	0.3405146618791143
lcl|NC_072423.2_cds_XP_055129582.2_3127	0.3294979079497908
lcl|NC_072423.2_cds_XP_063501387.1_3131	0.5270655270655271
lcl|NC_072423.2_cds_XP_055129782.1_3140	0.5631868131868132
lcl|NC_072423.2_cds_XP_063501725.1_3169	0.5819004524886878
lcl|NC_072423.2_cds_XP_063502004.1_3182	0.4602076124567474
lcl|NC_072423.2_cds_XP_063501939.1_3195	0.6796116504854369
lcl|NC_072423.2_cds_XP_063501970.1_3203	0.7287946428571429
lcl|NC_072423.2_cds_XP_055130181.1_3204	0.7192982456140351
lcl|NC_072423.2_cds_XP_055130245.2_3206	0.481786133960047
lcl|NC_072423.2_cds_XP_063501833.1_3231	0.42840444184687315
lcl|NC_072423.2_cds_XP_055129862.2_3281	0.7425126409957216
lcl|NC_072423.2_cds_XP_055130557.1_3282	0.7714477211796247
lcl|NC_072423.2_cds_XP_055130644.2_3301	0.7966022806609262
lcl|NC_072423.2_cds_XP_055130754.2_3316	0.8121974830590513
lcl|NC_072423.2_cds_XP_055131487.1_3370	0.736540664375716
lcl|NC_072423.2_cds_XP_055131467.2_3388	0.5946866485013624
lcl|NC_072423.2_cds_XP_063502410.1_3399	0.5041322314049587
lcl|NC_072423.2_cds_XP_055131521.2_3408	0.7601351351351351
lcl|NC_072423.2_cds_XP_055131601.1_3416	0.6204761904761905
lcl|NC_072423.2_cds_XP_055131844.2_3438	0.7740259740259741
lcl|NC_072423.2_cds_XP_055131918.2_3506	0.43505338078291816
lcl|NC_072423.2_cds_XP_055131710.2_3515	0.6619115549215406
lcl|NC_072423.2_cds_XP_055132691.2_3540	0.6531219028741329
lcl|NC_072423.2_cds_XP_055132733.1_3562	0.7532368621477532
lcl|NC_072423.2_cds_XP_055132724.2_3578	0.6541200406917599
lcl|NC_072423.2_cds_XP_063465707.1_3580	0.6618303571428571
lcl|NC_072423.2_cds_XP_055132936.1_3631	0.5508298755186722
lcl|NC_072423.2_cds_XP_055133167.1_3657	0.6237837837837837
lcl|NC_072423.2_cds_XP_063465323.1_3670	0.6467065868263473
lcl|NC_072423.2_cds_XP_055133655.1_3738	0.6260017809439002
lcl|NC_072423.2_cds_XP_055133600.1_3761	0.7087209302325581
lcl|NC_072423.2_cds_XP_055133640.2_3796	0.5738539898132428
lcl|NC_072423.2_cds_XP_055133668.2_3818	0.578443113772455
lcl|NC_072423.2_cds_XP_055134483.2_3835	0.7130149812734082
lcl|NC_072423.2_cds_XP_063465161.1_3883	0.4292682926829268
lcl|NC_072423.2_cds_XP_055135054.1_3924	0.7464454976303317
lcl|NC_072423.2_cds_XP_055135122.1_3926	0.43399638336347196
lcl|NC_072423.2_cds_XP_055135322.1_3946	0.7542768273716952
lcl|NC_072423.2_cds_XP_055135274.2_3951	0.7259938837920489
lcl|NC_072423.2_cds_XP_055135452.1_3966	0.6405693950177936
lcl|NC_072423.2_cds_XP_055135414.2_3982	0.346588693957115
lcl|NC_072423.2_cds_XP_055135354.2_3993	0.7132994186046512
lcl|NC_072423.2_cds_XP_063492683.1_4029	0.7991761071060762
lcl|NC_072423.2_cds_XP_063466852.1_4046	0.6724233983286908
lcl|NC_072423.2_cds_XP_055150721.2_4086	0.6917562724014337
lcl|NC_072423.2_cds_XP_063466939.1_4101	0.4122191011235955
lcl|NC_072423.2_cds_XP_055136509.1_4124	0.4300970873786408
lcl|NC_072423.2_cds_XP_055136435.1_4147	0.5193798449612403
lcl|NC_072423.2_cds_XP_055150741.2_4168	0.3335304553518628
lcl|NC_072423.2_cds_XP_055137193.2_4232	0.35607094133697137
lcl|NC_072423.2_cds_XP_055137379.2_4256	0.7064989517819706
lcl|NC_072423.2_cds_XP_055137371.2_4266	0.45768025078369906
lcl|NC_072423.2_cds_XP_055137772.1_4308	0.6197674418604651
lcl|NC_072423.2_cds_XP_055137876.2_4327	0.6556399132321041
lcl|NC_072423.2_cds_XP_063467583.1_4349	0.6792189679218968
lcl|NC_072423.2_cds_XP_055150778.1_4377	0.5187046342825238
lcl|NC_072423.2_cds_XP_055150791.2_4378	0.6275510204081632
lcl|NC_072423.2_cds_XP_055138519.2_4381	0.7664848785324739
lcl|NC_072423.2_cds_XP_063468156.1_4438	0.6695890410958905
lcl|NC_072423.2_cds_XP_055138931.2_4444	0.7908878504672897
lcl|NC_072423.2_cds_XP_055139153.2_4451	0.6471153846153846
lcl|NC_072423.2_cds_XP_055139104.1_4456	0.3719485130936529
lcl|NC_072423.2_cds_XP_055139474.2_4492	0.601278600269179
lcl|NC_072423.2_cds_XP_055139596.2_4546	0.5053003533568905
lcl|NC_072423.2_cds_XP_055140089.1_4561	0.39931350114416475
lcl|NC_072423.2_cds_XP_055140113.1_4562	0.3539147040101846
lcl|NC_072423.2_cds_XP_055140612.1_4629	0.7894131185270425
lcl|NC_072423.2_cds_XP_055141075.1_4726	0.35793650793650794
lcl|NC_072423.2_cds_XP_063493070.1_4742	0.4327979712595097
lcl|NC_072423.2_cds_XP_055141440.1_4785	0.31142506142506143
lcl|NC_072423.2_cds_XP_055142203.2_4864	0.35251798561151076
lcl|NC_072423.2_cds_XP_055142505.2_4897	0.46683673469387754
lcl|NC_072423.2_cds_XP_055142786.2_4971	0.3113854595336077
lcl|NC_072423.2_cds_XP_063469117.1_4980	0.41162608012568735
lcl|NC_072423.2_cds_XP_063493854.1_5051	0.5692503176620076
lcl|NC_072423.2_cds_XP_055144519.1_5197	0.4578313253012048
lcl|NC_072423.2_cds_XP_055144823.1_5208	0.7720797720797721
lcl|NC_072423.2_cds_XP_055144886.2_5210	0.7398720682302772
lcl|NC_072423.2_cds_XP_063494030.1_5237	0.42320085929108486
lcl|NC_072423.2_cds_XP_055145230.2_5249	0.5427769985974754
lcl|NC_072423.2_cds_XP_063494227.1_5251	0.6623465211459755
lcl|NC_072423.2_cds_XP_055145399.2_5256	0.6230483271375464
lcl|NC_072423.2_cds_XP_055145482.1_5270	0.8
lcl|NC_072424.2_cds_XP_055100479.2_5301	0.7933014354066986
lcl|NC_072424.2_cds_XP_055100686.1_5322	0.7884828349944629
lcl|NC_072424.2_cds_XP_055100672.2_5335	0.7942857142857143
lcl|NC_072424.2_cds_XP_055100995.2_5343	0.7400990099009901
lcl|NC_072424.2_cds_XP_063472567.1_5365	0.7268145161290323
lcl|NC_072424.2_cds_XP_063472631.1_5410	0.437979370536895
lcl|NC_072424.2_cds_XP_055101609.2_5441	0.5951245363010069
lcl|NC_072424.2_cds_XP_055101723.1_5456	0.5758241758241758
lcl|NC_072424.2_cds_XP_055101703.1_5484	0.40839386602098465
lcl|NC_072424.2_cds_XP_055101997.2_5498	0.6988922457200403
lcl|NC_072424.2_cds_XP_063480088.1_5562	0.6030786146234195
lcl|NC_072424.2_cds_XP_063481050.1_5582	0.5498643147896879
lcl|NC_072424.2_cds_XP_055102763.2_5609	0.5838287752675386
lcl|NC_072424.2_cds_XP_055103005.1_5618	0.43918367346938775
lcl|NC_072424.2_cds_XP_055103201.2_5632	0.39760239760239763
lcl|NC_072424.2_cds_XP_055103157.2_5641	0.43209876543209874
lcl|NC_072424.2_cds_XP_055103143.1_5673	0.3897324656543745
lcl|NC_072424.2_cds_XP_055103766.2_5691	0.48658008658008656
lcl|NC_072424.2_cds_XP_055103892.2_5708	0.7195121951219512
lcl|NC_072424.2_cds_XP_055104185.1_5735	0.35579710144927534
lcl|NC_072424.2_cds_XP_055104368.1_5751	0.7201889020070839
lcl|NC_072424.2_cds_XP_055104513.2_5765	0.346218487394958
lcl|NC_072424.2_cds_XP_063473658.1_5768	0.3114571746384872
lcl|NC_072424.2_cds_XP_055104594.1_5779	0.33525456292026895
lcl|NC_072424.2_cds_XP_055104730.2_5791	0.6016166281755196
lcl|NC_072424.2_cds_XP_055105425.2_5895	0.6172638436482085
lcl|NC_072424.2_cds_XP_063482075.1_5898	0.3521703521703522
lcl|NC_072424.2_cds_XP_055105826.2_5946	0.5915492957746479
lcl|NC_072424.2_cds_XP_055105867.2_5949	0.6320523303352412
lcl|NC_072424.2_cds_XP_055105885.2_5950	0.5544100801832761
lcl|NC_072424.2_cds_XP_063483059.1_5958	0.41811637672465507
lcl|NC_072424.2_cds_XP_055098794.2_5964	0.5373831775700935
lcl|NC_072424.2_cds_XP_055106006.2_5966	0.3670169765561843
lcl|NC_072424.2_cds_XP_055106053.2_5976	0.753968253968254
lcl|NC_072424.2_cds_XP_055106031.2_5991	0.6337426588360918
lcl|NC_072424.2_cds_XP_055106385.1_6021	0.7430406852248393
lcl|NC_072424.2_cds_XP_055106810.1_6054	0.695575221238938
lcl|NC_072424.2_cds_XP_063483502.1_6070	0.6906873614190687
lcl|NC_072424.2_cds_XP_055106906.1_6098	0.5988402741170269
lcl|NC_072424.2_cds_XP_055107054.2_6113	0.5512897420515896
lcl|NC_072424.2_cds_XP_063483443.1_6147	0.4100327153762268
lcl|NC_072424.2_cds_XP_063474209.1_6215	0.7586872586872587
lcl|NC_072424.2_cds_XP_055107867.2_6240	0.6469194312796208
lcl|NC_072424.2_cds_XP_055107939.2_6247	0.35551811288963775
lcl|NC_072424.2_cds_XP_055107987.2_6257	0.5893310753598645
lcl|NC_072424.2_cds_XP_055108044.2_6309	0.5570342205323194
lcl|NC_072424.2_cds_XP_055108074.2_6315	0.5763260025873221
lcl|NC_072424.2_cds_XP_055108368.1_6344	0.7615621788283659
lcl|NC_072424.2_cds_XP_055109334.2_6476	0.6140186915887851
lcl|NC_072424.2_cds_XP_055109311.2_6511	0.737490377213241
lcl|NC_072424.2_cds_XP_055109628.2_6528	0.7771986970684039
lcl|NC_072424.2_cds_XP_055109752.1_6532	0.43811737361998837
lcl|NC_072424.2_cds_XP_063484964.1_6552	0.618663594470046
lcl|NC_072424.2_cds_XP_055109932.2_6564	0.6738916256157635
lcl|NC_072424.2_cds_XP_055109807.2_6582	0.2859069453809845
lcl|NC_072424.2_cds_XP_055110145.2_6627	0.3323076923076923
lcl|NC_072424.2_cds_XP_063484476.1_6668	0.5305570578691184
lcl|NC_072424.2_cds_XP_055110897.1_6732	0.3552036199095023
lcl|NC_072424.2_cds_XP_055110988.2_6735	0.5466816647919011
lcl|NC_072424.2_cds_XP_063485803.1_6743	0.5004314063848145
lcl|NC_072424.2_cds_XP_055111142.1_6759	0.5017462165308498
lcl|NC_072424.2_cds_XP_055111257.1_6771	0.5121241513094084
lcl|NC_072424.2_cds_XP_055111304.2_6790	0.31788079470198677
lcl|NC_072424.2_cds_XP_055111317.1_6792	0.4068627450980392
lcl|NC_072424.2_cds_XP_055111641.1_6813	0.34216216216216216
lcl|NC_072424.2_cds_XP_055111696.1_6821	0.3333333333333333
lcl|NC_072424.2_cds_XP_055111765.2_6829	0.4467046379170057
lcl|NC_072424.2_cds_XP_063485769.1_6840	0.40461686437960886
lcl|NC_072424.2_cds_XP_055111985.2_6849	0.3796680497925311
lcl|NC_072424.2_cds_XP_055112325.2_6897	0.521511017838405
lcl|NC_072424.2_cds_XP_055112393.1_6919	0.47194329592439455
lcl|NC_072424.2_cds_XP_055113049.2_6979	0.29507133592736706
lcl|NC_072424.2_cds_XP_063486596.1_6984	0.3932472691161867
lcl|NC_072424.2_cds_XP_055113181.2_6994	0.3861538461538462
lcl|NC_072424.2_cds_XP_055113280.1_7000	0.4241628365068943
lcl|NC_072424.2_cds_XP_063474836.1_7006	0.3358609794628752
lcl|NC_072424.2_cds_XP_055113345.2_7007	0.30426261636452717
lcl|NC_072424.2_cds_XP_055113634.1_7053	0.3450413223140496
lcl|NC_072424.2_cds_XP_055113894.1_7081	0.6196172248803827
lcl|NC_072424.2_cds_XP_055113861.1_7085	0.30972477064220183
lcl|NC_072424.2_cds_XP_055114731.2_7175	0.5004468275245755
lcl|NC_072424.2_cds_XP_055114899.2_7178	0.2870837537840565
lcl|NC_072424.2_cds_XP_063475499.1_7184	0.6476906552094522
lcl|NC_072424.2_cds_XP_055114926.1_7197	0.40575396825396826
lcl|NC_072424.2_cds_XP_055115279.2_7243	0.36977491961414793
lcl|NC_072424.2_cds_XP_055115746.2_7301	0.3514129443938013
lcl|NC_072424.2_cds_XP_063475999.1_7306	0.4491341991341991
lcl|NC_072424.2_cds_XP_055115970.1_7318	0.3626373626373626
lcl|NC_072424.2_cds_XP_055116328.2_7350	0.49181860682561945
lcl|NC_072424.2_cds_XP_055116412.2_7366	0.7093821510297483
lcl|NC_072424.2_cds_XP_055116727.2_7395	0.4504608294930876
lcl|NC_072424.2_cds_XP_063486993.1_7438	0.7074954296160878
lcl|NC_072424.2_cds_XP_063487075.1_7454	0.3336693548387097
lcl|NC_072424.2_cds_XP_055117091.1_7456	0.41519823788546256
lcl|NC_072424.2_cds_XP_063487032.1_7506	0.32044728434504793
lcl|NC_072424.2_cds_XP_055117740.1_7534	0.47971491228070173
lcl|NC_072424.2_cds_XP_055117917.2_7566	0.5202839756592292
lcl|NC_072424.2_cds_XP_055118145.1_7605	0.44994617868675996
lcl|NC_072424.2_cds_XP_055118169.1_7606	0.46609257265877285
lcl|NC_072424.2_cds_XP_055118363.2_7609	0.393526405451448
lcl|NC_072424.2_cds_XP_055118661.2_7648	0.4558180227471566
lcl|NC_072424.2_cds_XP_063476744.1_7662	0.38614718614718613
lcl|NC_072424.2_cds_XP_055118770.2_7672	0.34393939393939393
lcl|NC_072424.2_cds_XP_055119119.2_7719	0.43902439024390244
lcl|NC_072424.2_cds_XP_055119401.2_7757	0.7373417721518988
lcl|NC_072424.2_cds_XP_055119561.1_7790	0.4271255060728745
lcl|NC_072424.2_cds_XP_055119676.2_7792	0.4390009606147935
lcl|NC_072424.2_cds_XP_055119857.2_7857	0.4629294755877034
lcl|NC_072424.2_cds_XP_055120187.1_7878	0.42109090909090907
lcl|NC_072424.2_cds_XP_055120242.2_7879	0.4045714285714286
lcl|NC_072424.2_cds_XP_055120230.1_7880	0.44168466522678185
lcl|NC_072424.2_cds_XP_055120786.2_7964	0.33278145695364236
lcl|NC_072424.2_cds_XP_055120847.1_7986	0.31778741865509763
lcl|NC_072424.2_cds_XP_063478407.1_8002	0.5093457943925234
lcl|NC_072424.2_cds_XP_055121319.2_8045	0.682277318640955
lcl|NC_072424.2_cds_XP_063478688.1_8053	0.5690072639225182
lcl|NC_072424.2_cds_XP_055121404.1_8066	0.450828729281768
lcl|NC_072424.2_cds_XP_063478911.1_8096	0.4325581395348837
lcl|NC_072424.2_cds_XP_063478866.1_8103	0.4756845116469146
lcl|NC_072424.2_cds_XP_055122318.1_8202	0.4639744334689134
lcl|NC_072424.2_cds_XP_063487734.1_8219	0.3964809384164223
lcl|NC_072424.2_cds_XP_055122576.1_8225	0.6730769230769231
lcl|NC_072424.2_cds_XP_063487767.1_8231	0.37750294464075385
lcl|NC_072424.2_cds_XP_055122679.1_8240	0.36915077989601386
lcl|NC_072424.2_cds_XP_055122774.1_8245	0.6275764036958067
lcl|NC_072424.2_cds_XP_055123082.1_8281	0.3032714412024757
lcl|NC_072424.2_cds_XP_055123398.2_8306	0.5562770562770563
lcl|NC_072424.2_cds_XP_055123422.2_8317	0.4725336322869955
lcl|NC_072424.2_cds_XP_055123455.2_8329	0.46772366930917325
